signal,position,signal_family,n_conditioned,n_active,zero_rate_conditioned,zero_rate_active,zero_rate_delta,structural_zero_risk,rank_order_stability,variance_ratio,support_collapse,exposure_sensitivity,preferred_population,support_quality,measurement_character,gw_block_variance_stability,early_vs_mid_pct,late_vs_mid_pct,variance_annotation,status
is_dgw,GK,fixture,553,561,0.9855,0.9857,0.0002,high,1.0,0.986,1.0,exposure_robust,both,borderline,structural_zero,unknown,,,NEAR_CONSTANT,EXCLUDE:structural_zero
is_dgw,MID,fixture,2412,3918,0.9809,0.9837,0.0028,high,0.837,0.859,0.719,exposure_sensitive,both,borderline,structural_zero,unknown,,,NEAR_CONSTANT,EXCLUDE:structural_zero
minutes,DEF,exposure,2214,2882,0.0,0.0,0.0,low,0.539,6.844,0.768,exposure_proxy,active_population,borderline,continuous_form,expanding,-2.581692235425348,203.8956191564007,NEAR_CONSTANT,INCLUDE
minutes,FWD,exposure,557,1049,0.0,0.0,0.0,low,0.504,5.216,0.531,exposure_proxy,active_population,sufficient,continuous_form,expanding,-0.8233890241398534,114.05264641248914,OK,INCLUDE
minutes,GK,exposure,553,561,0.0,0.0,0.0,low,0.837,1.374,0.986,exposure_proxy,active_population,borderline,continuous_form,expanding,12.948645187554785,1940.5222412396342,NEAR_CONSTANT,INCLUDE
minutes,MID,exposure,2412,3918,0.0,0.0,0.0,low,0.739,6.965,0.616,exposure_proxy,active_population,sufficient,continuous_form,expanding,9.550801226482598,92.59813415705855,OK,INCLUDE
own_goals,DEF,discipline,2214,2882,0.9914,0.9927,0.0013,high,0.964,0.839,0.905,exposure_robust,both,borderline,structural_zero,expanding,32.28578472017802,17.032138777487503,NEAR_CONSTANT,EXCLUDE:structural_zero
own_goals,FWD,discipline,557,1049,0.9982,0.999,0.0008,high,1.0,0.531,1.0,exposure_robust,both,borderline,structural_zero,compressing,-100.0,-100.0,NEAR_CONSTANT,EXCLUDE:structural_zero
own_goals,GK,discipline,553,561,0.9928,0.9929,0.0001,high,1.0,0.986,1.0,exposure_robust,both,borderline,structural_zero,stable,-25.649067090655876,-24.594391250359994,NEAR_CONSTANT,EXCLUDE:structural_zero
own_goals,MID,discipline,2412,3918,0.9988,0.999,0.0002,high,0.862,0.821,0.75,exposure_robust,both,borderline,structural_zero,stable,3.291780501605812,4.418512757324833,NEAR_CONSTANT,EXCLUDE:structural_zero
ownership_count,DEF,market,2214,2882,0.0005,0.0003,-0.0002,low,0.999,0.845,0.768,exposure_proxy,active_population,sufficient,continuous_form,stable,2.685845355425398,7.431414706164108,OK,INCLUDE
ownership_count,FWD,market,557,1049,0.0,0.001,0.001,low,0.997,0.665,0.531,exposure_proxy,active_population,sufficient,continuous_form,stable,5.5633656411845145,-4.800166093507075,OK,INCLUDE
ownership_count,GK,market,553,561,0.0,0.0,0.0,low,1.0,0.993,0.986,exposure_proxy,active_population,sufficient,continuous_form,stable,-8.196467657552198,-1.0888810438891117,OK,INCLUDE
ownership_count,MID,market,2412,3918,0.0,0.0008,0.0008,low,0.998,0.694,0.616,exposure_proxy,active_population,sufficient,continuous_form,stable,3.7278968258460443,12.184538974341063,OK,INCLUDE
penalties_missed,DEF,discipline,2214,2882,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
penalties_missed,FWD,discipline,557,1049,0.9874,0.9933,0.0059,high,0.998,0.534,1.0,exposure_robust,both,borderline,structural_zero,expanding,35.46171747490059,6.611271625840076,NEAR_CONSTANT,EXCLUDE:structural_zero
penalties_missed,GK,discipline,553,561,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
penalties_missed,MID,discipline,2412,3918,0.9983,0.999,0.0007,high,1.0,0.616,1.0,exposure_robust,both,borderline,structural_zero,compressing,3.287675472795648,-100.0,NEAR_CONSTANT,EXCLUDE:structural_zero
penalties_saved,DEF,defensive,2214,2882,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
penalties_saved,FWD,defensive,557,1049,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
penalties_saved,GK,defensive,553,561,0.9855,0.9857,0.0002,high,1.0,0.986,1.0,exposure_robust,both,borderline,structural_zero,expanding,64.38566132859313,-24.594391250359994,NEAR_CONSTANT,EXCLUDE:structural_zero
penalties_saved,MID,defensive,2412,3918,1.0,1.0,0.0,high,,,,exposure_degenerate,exposure_conditioned,insufficient,structural_zero,unknown,,,CONSTANT,EXCLUDE:constant_variance
purchase_price,DEF,market,2214,2882,0.0,0.0,0.0,low,0.998,0.981,0.768,exposure_proxy,active_population,sufficient,continuous_form,stable,-6.111892324538304,3.9542635409498983,OK,INCLUDE
purchase_price,FWD,market,557,1049,0.0,0.0,0.0,low,0.996,0.752,0.531,exposure_proxy,active_population,sufficient,continuous_form,stable,6.762680712397984,-8.141691652408689,OK,INCLUDE
purchase_price,GK,market,553,561,0.0,0.0,0.0,low,1.0,1.002,0.986,exposure_proxy,active_population,sufficient,continuous_form,stable,-9.737056866683847,5.6835794918913995,OK,INCLUDE
purchase_price,MID,market,2412,3918,0.0,0.0,0.0,low,0.998,0.824,0.616,exposure_proxy,active_population,sufficient,continuous_form,stable,5.747598639932838,15.893086333453077,OK,INCLUDE
