signal,position,scope,signal_family,n,mean,median,std,iqr,cv,skew,p25,p75,p90,zero_rate,null_rate
transfers_out,DEF,conditioned,market,2214,23605.968383,6418.5,46957.830368,21798.0,1.9892,5.079,1605.0,23403.0,64063.70000000001,0.0005,0.0
transfers_out,MID,conditioned,market,2412,31014.103648,5200.5,79240.833892,24578.25,2.555,6.193,968.5,25546.75,79817.20000000001,0.0,0.0
transfers_out,FWD,conditioned,market,557,70726.143627,21477.0,148893.76749,56364.0,2.1052,5.13,5129.0,61493.0,189729.00000000003,0.0,0.0
transfers_balance,GK,conditioned,market,553,6467.023508,-314.0,70145.282908,27964.0,10.8466,0.729,-13978.0,13986.0,62086.60000000002,0.0,0.0
transfers_balance,DEF,conditioned,market,2214,13929.007227,178.0,93946.659412,12693.5,6.7447,3.672,-3544.5,9149.0,59775.5,0.0009,0.0
transfers_balance,MID,conditioned,market,2412,16719.123134,107.5,140755.029332,8863.5,8.4188,3.208,-2321.0,6542.5,68527.30000000002,0.0,0.0
transfers_balance,FWD,conditioned,market,557,29459.590664,308.0,244492.246613,45810.0,8.2992,0.971,-15724.0,30086.0,206477.4000000001,0.0,0.0
ownership_count,GK,conditioned,market,553,1067751.712477,735654.0,1156681.029027,1025384.0,1.0833,1.835,258294.0,1283678.0,2012061.2000000007,0.0,0.0
ownership_count,DEF,conditioned,market,2214,584328.892502,200718.5,974057.789157,568233.25,1.667,2.726,40207.5,608440.75,1652808.1000000008,0.0005,0.0
ownership_count,MID,conditioned,market,2412,530454.182421,90671.5,1075130.933338,456511.25,2.0268,3.475,16619.0,473130.25,1633501.9000000008,0.0,0.0
ownership_count,FWD,conditioned,market,557,1299274.122083,373821.0,2114838.777193,1173369.0,1.6277,2.372,98924.0,1272293.0,4100738.0,0.0,0.0
purchase_price,GK,conditioned,market,553,4.811031,4.8,0.521152,0.6,0.1083,0.296,4.5,5.1,5.6,0.0,0.0
purchase_price,DEF,conditioned,market,2214,4.713008,4.5,0.592209,0.7,0.1257,0.976,4.3,5.0,5.6,0.0,0.0
purchase_price,MID,conditioned,market,2412,5.891542,5.5,1.32964,1.4,0.2257,2.59,5.0,6.4,7.4,0.0,0.0
purchase_price,FWD,conditioned,market,557,6.875045,6.3,2.083596,2.0,0.3031,2.356,5.5,7.5,8.740000000000004,0.0,0.0
yellow_cards,GK,conditioned,discipline,553,0.068716,0.0,0.2532,0.0,3.6847,3.419,0.0,0.0,0.0,0.9313,0.0
yellow_cards,DEF,conditioned,discipline,2214,0.168022,0.0,0.37397,0.0,2.2257,1.777,0.0,0.0,1.0,0.832,0.0
yellow_cards,MID,conditioned,discipline,2412,0.160862,0.0,0.368607,0.0,2.2914,1.872,0.0,0.0,1.0,0.8396,0.0
yellow_cards,FWD,conditioned,discipline,557,0.102334,0.0,0.303359,0.0,2.9644,2.631,0.0,0.0,1.0,0.8977,0.0
