signal,position,population_scope,population_robustness,signal_layer,layer_role,feature_candidate_eligible,downstream_status,interpretation_caveat,variable_level,preferred_population,bucketing_scheme,n_records,zero_fraction,active_bin_count,effective_n_per_bin,q1_q5_mean_gap,relationship_geometry,monotonicity_confidence,low_confidence,support_flags,support_type,temporal_stability,rho_pooled,rho_between,rho_within,within_share,panel_class,decomposition_flag,n_players,rho_full,rho_no_haul,rho_drop,haul_pct,n_haul,tail_sensitive,association_class,promotion_class
minutes,MID,primary,untested,exposure,outcome_access,False,caveated,"eligibility/access signal, not quality",player_level,active_population,quantile,4140,0.0,5.0,828.0,6.085,monotonic_positive,1.0,False,,,insufficient_data,0.6479,0.8879,0.4496,0.694,state_sensitive,,239,0.6479,0.6445,0.0034,1.64,68,False,continuous_monotonic,exposure_control
ownership_count,DEF,primary,untested,market_behavior,popularity_proxy,False,caveated,"popularity/demand, not quality",player_level,active_population,quantile,3060,0.0,5.0,612.0,1.569,monotonic_positive,0.925,False,,,stable,0.1893,0.6108,-0.0642,0.339,mixed,,180,0.1893,0.1759,0.0133,1.57,48,False,continuous_monotonic,market_context
ownership_count,FWD,primary,untested,market_behavior,popularity_proxy,False,caveated,"popularity/demand, not quality",player_level,active_population,quantile,1124,0.001,5.0,224.8,,indeterminate,,False,,,insufficient_data,0.3111,0.6186,-0.025,0.08,identity_dominant,,62,0.3111,0.2775,0.0336,2.85,32,False,weak_association,market_context
ownership_count,GK,primary,untested,market_behavior,popularity_proxy,False,caveated,"popularity/demand, not quality",player_level,active_population,quantile,596,0.0,5.0,119.2,,non_monotonic,,False,,,insufficient_data,0.0736,0.3452,-0.0534,0.726,state_sensitive,,37,0.0736,0.0762,-0.0025,0.84,5,False,weak_association,market_context
ownership_count,MID,primary,untested,market_behavior,popularity_proxy,False,caveated,"popularity/demand, not quality",player_level,active_population,quantile,4140,0.001,5.0,828.0,1.999,monotonic_positive,0.945,False,,,stable,0.2714,0.7158,-0.0145,0.053,identity_dominant,,239,0.2714,0.2584,0.0131,1.64,68,False,weak_association,market_context
purchase_price,DEF,primary,untested,valuation,market_pricing,False,caveated,"price embeds historical, role, and market effects",player_level,active_population,quantile,3060,0.0,5.0,612.0,1.197,monotonic_positive,0.66,True,,,stable,0.1439,0.4586,-0.1103,0.766,state_sensitive,,180,0.1439,0.1367,0.0072,1.57,48,False,weak_association,review_signal
purchase_price,FWD,primary,untested,valuation,market_pricing,False,caveated,"price embeds historical, role, and market effects",player_level,active_population,quantile,1124,0.0,5.0,224.8,,indeterminate,,False,,,insufficient_data,0.2646,0.6038,-0.0667,0.252,mixed,,62,0.2646,0.2341,0.0305,2.85,32,False,weak_association,review_signal
purchase_price,GK,primary,untested,valuation,market_pricing,False,caveated,"price embeds historical, role, and market effects",player_level,active_population,quantile,596,0.0,5.0,119.2,,non_monotonic,,False,,,insufficient_data,0.0782,0.3248,-0.0634,0.811,state_sensitive,,37,0.0782,0.0837,-0.0056,0.84,5,False,weak_association,review_signal
purchase_price,MID,primary,untested,valuation,market_pricing,False,caveated,"price embeds historical, role, and market effects",player_level,active_population,quantile,4140,0.0,5.0,828.0,,threshold_positive,,False,,,insufficient_data,0.188,0.5709,-0.0618,0.329,mixed,,239,0.188,0.1757,0.0124,1.64,68,False,upper_tail_concentrated,review_signal
saves,GK,primary,untested,defensive_context,goalkeeper_action,True,caveated,GK-specific; not comparable across positions,player_level,both,quantile,596,0.076,5.0,119.2,,indeterminate,,False,,,insufficient_data,0.319,0.251,0.2761,0.866,state_sensitive,,37,0.319,0.3146,0.0044,0.84,5,False,weak_association,review_signal
starts,DEF,primary,untested,exposure,selection_access,False,caveated,"selection proxy, not quality",player_level,active_population,discrete,3060,0.192,3.0,1020.0,6.968,monotonic_positive,1.0,False,,,moderate_shift,0.399,0.6721,0.2592,0.65,state_sensitive,,180,0.399,0.3919,0.0071,1.57,48,False,continuous_monotonic,exposure_control
