signal_a,signal_b,position,rho
bps,clean_sheets,FWD,0.0003
bps,creativity,FWD,0.2796
bps,fdr_avg,FWD,-0.096
bps,fdr_max,FWD,-0.096
bps,fdr_min,FWD,-0.096
bps,fixture_count,FWD,
bps,goals_conceded,FWD,0.0147
bps,goals_scored,FWD,0.7647
bps,ict_index,FWD,0.7425
bps,influence,FWD,0.8582
bps,minutes,FWD,0.1509
bps,ownership_count,FWD,0.1058
bps,purchase_price,FWD,0.0912
bps,red_cards,FWD,
bps,saves,FWD,
bps,starts,FWD,0.0032
bps,threat,FWD,0.4609
bps,transfers_balance,FWD,0.0388
bps,transfers_in,FWD,0.0636
bps,transfers_out,FWD,0.0218
bps,was_home,FWD,-0.0232
bps,xa,FWD,0.2402
bps,xg,FWD,0.331
bps,xgc,FWD,-0.007
bps,xgi,FWD,0.3757
bps,yellow_cards,FWD,0.0023
clean_sheets,creativity,FWD,-0.0727
clean_sheets,fdr_avg,FWD,-0.1814
clean_sheets,fdr_max,FWD,-0.1814
clean_sheets,fdr_min,FWD,-0.1814
clean_sheets,fixture_count,FWD,
clean_sheets,goals_conceded,FWD,-0.8474
clean_sheets,goals_scored,FWD,-0.0053
clean_sheets,ict_index,FWD,-0.0559
clean_sheets,influence,FWD,-0.0031
clean_sheets,minutes,FWD,-0.1783
clean_sheets,ownership_count,FWD,0.0284
clean_sheets,purchase_price,FWD,0.0123
clean_sheets,red_cards,FWD,
clean_sheets,saves,FWD,
clean_sheets,starts,FWD,-0.0207
clean_sheets,threat,FWD,-0.0666
clean_sheets,transfers_balance,FWD,0.0716
clean_sheets,transfers_in,FWD,0.0613
clean_sheets,transfers_out,FWD,0.0087
clean_sheets,was_home,FWD,0.0493
clean_sheets,xa,FWD,-0.0446
clean_sheets,xg,FWD,-0.0608
clean_sheets,xgc,FWD,-0.4135
clean_sheets,xgi,FWD,-0.0672
clean_sheets,yellow_cards,FWD,-0.0236
creativity,fdr_avg,FWD,-0.1025
creativity,fdr_max,FWD,-0.1025
creativity,fdr_min,FWD,-0.1025
creativity,fixture_count,FWD,
creativity,goals_conceded,FWD,0.0606
creativity,goals_scored,FWD,0.0828
creativity,ict_index,FWD,0.426
creativity,influence,FWD,0.3095
creativity,minutes,FWD,0.1972
creativity,ownership_count,FWD,0.0782
creativity,purchase_price,FWD,0.0337
creativity,red_cards,FWD,
creativity,saves,FWD,
creativity,starts,FWD,-0.0079
creativity,threat,FWD,0.0717
creativity,transfers_balance,FWD,0.0207
creativity,transfers_in,FWD,0.0949
creativity,transfers_out,FWD,0.091
creativity,was_home,FWD,0.0124
creativity,xa,FWD,0.6367
creativity,xg,FWD,0.0216
creativity,xgc,FWD,-0.0478
creativity,xgi,FWD,0.1645
creativity,yellow_cards,FWD,0.0601
fdr_avg,fdr_max,FWD,1.0
fdr_avg,fdr_min,FWD,1.0
fdr_avg,fixture_count,FWD,
fdr_avg,goals_conceded,FWD,0.2189
fdr_avg,goals_scored,FWD,-0.0703
fdr_avg,ict_index,FWD,-0.1388
fdr_avg,influence,FWD,-0.0918
fdr_avg,minutes,FWD,-0.0374
fdr_avg,ownership_count,FWD,-0.0563
fdr_avg,purchase_price,FWD,-0.0322
fdr_avg,red_cards,FWD,
fdr_avg,saves,FWD,
fdr_avg,starts,FWD,0.0422
fdr_avg,threat,FWD,-0.1234
fdr_avg,transfers_balance,FWD,-0.2042
fdr_avg,transfers_in,FWD,-0.1566
fdr_avg,transfers_out,FWD,0.0471
fdr_avg,was_home,FWD,-0.3184
fdr_avg,xa,FWD,-0.0729
fdr_avg,xg,FWD,-0.1195
fdr_avg,xgc,FWD,0.3034
fdr_avg,xgi,FWD,-0.1243
fdr_avg,yellow_cards,FWD,0.0848
fdr_max,fdr_min,FWD,1.0
fdr_max,fixture_count,FWD,
fdr_max,goals_conceded,FWD,0.2189
fdr_max,goals_scored,FWD,-0.0703
fdr_max,ict_index,FWD,-0.1388
fdr_max,influence,FWD,-0.0918
fdr_max,minutes,FWD,-0.0374
fdr_max,ownership_count,FWD,-0.0563
fdr_max,purchase_price,FWD,-0.0322
fdr_max,red_cards,FWD,
fdr_max,saves,FWD,
fdr_max,starts,FWD,0.0422
fdr_max,threat,FWD,-0.1234
fdr_max,transfers_balance,FWD,-0.2042
fdr_max,transfers_in,FWD,-0.1566
fdr_max,transfers_out,FWD,0.0471
fdr_max,was_home,FWD,-0.3184
fdr_max,xa,FWD,-0.0729
fdr_max,xg,FWD,-0.1195
fdr_max,xgc,FWD,0.3034
fdr_max,xgi,FWD,-0.1243
fdr_max,yellow_cards,FWD,0.0848
fdr_min,fixture_count,FWD,
fdr_min,goals_conceded,FWD,0.2189
fdr_min,goals_scored,FWD,-0.0703
fdr_min,ict_index,FWD,-0.1388
fdr_min,influence,FWD,-0.0918
fdr_min,minutes,FWD,-0.0374
fdr_min,ownership_count,FWD,-0.0563
fdr_min,purchase_price,FWD,-0.0322
fdr_min,red_cards,FWD,
fdr_min,saves,FWD,
fdr_min,starts,FWD,0.0422
fdr_min,threat,FWD,-0.1234
fdr_min,transfers_balance,FWD,-0.2042
fdr_min,transfers_in,FWD,-0.1566
fdr_min,transfers_out,FWD,0.0471
fdr_min,was_home,FWD,-0.3184
fdr_min,xa,FWD,-0.0729
fdr_min,xg,FWD,-0.1195
fdr_min,xgc,FWD,0.3034
fdr_min,xgi,FWD,-0.1243
fdr_min,yellow_cards,FWD,0.0848
fixture_count,goals_conceded,FWD,
fixture_count,goals_scored,FWD,
fixture_count,ict_index,FWD,
fixture_count,influence,FWD,
fixture_count,minutes,FWD,
fixture_count,ownership_count,FWD,
fixture_count,purchase_price,FWD,
fixture_count,red_cards,FWD,
fixture_count,saves,FWD,
fixture_count,starts,FWD,
fixture_count,threat,FWD,
fixture_count,transfers_balance,FWD,
fixture_count,transfers_in,FWD,
fixture_count,transfers_out,FWD,
fixture_count,was_home,FWD,
fixture_count,xa,FWD,
fixture_count,xg,FWD,
fixture_count,xgc,FWD,
fixture_count,xgi,FWD,
fixture_count,yellow_cards,FWD,
goals_conceded,goals_scored,FWD,0.0155
goals_conceded,ict_index,FWD,0.0589
goals_conceded,influence,FWD,0.0124
goals_conceded,minutes,FWD,0.2263
goals_conceded,ownership_count,FWD,-0.06
goals_conceded,purchase_price,FWD,-0.0156
goals_conceded,red_cards,FWD,
goals_conceded,saves,FWD,
goals_conceded,starts,FWD,0.0335
goals_conceded,threat,FWD,0.0611
goals_conceded,transfers_balance,FWD,-0.0631
goals_conceded,transfers_in,FWD,-0.0986
goals_conceded,transfers_out,FWD,-0.0416
goals_conceded,was_home,FWD,-0.112
goals_conceded,xa,FWD,0.0458
goals_conceded,xg,FWD,0.049
goals_conceded,xgc,FWD,0.5428
goals_conceded,xgi,FWD,0.0616
goals_conceded,yellow_cards,FWD,0.0371
goals_scored,ict_index,FWD,0.725
goals_scored,influence,FWD,0.779
goals_scored,minutes,FWD,0.1249
goals_scored,ownership_count,FWD,0.1271
goals_scored,purchase_price,FWD,0.0883
goals_scored,red_cards,FWD,
goals_scored,saves,FWD,
goals_scored,starts,FWD,0.0339
goals_scored,threat,FWD,0.5773
goals_scored,transfers_balance,FWD,0.0266
goals_scored,transfers_in,FWD,0.0873
goals_scored,transfers_out,FWD,0.0469
goals_scored,was_home,FWD,-0.0032
goals_scored,xa,FWD,0.0949
goals_scored,xg,FWD,0.5642
goals_scored,xgc,FWD,-0.0037
goals_scored,xgi,FWD,0.5478
goals_scored,yellow_cards,FWD,0.1342
ict_index,influence,FWD,0.8605
ict_index,minutes,FWD,0.3198
ict_index,ownership_count,FWD,0.1623
ict_index,purchase_price,FWD,0.1256
ict_index,red_cards,FWD,
ict_index,saves,FWD,
ict_index,starts,FWD,0.0197
ict_index,threat,FWD,0.8358
ict_index,transfers_balance,FWD,0.0458
ict_index,transfers_in,FWD,0.1047
ict_index,transfers_out,FWD,0.0613
ict_index,was_home,FWD,0.0232
ict_index,xa,FWD,0.349
ict_index,xg,FWD,0.6664
ict_index,xgc,FWD,-0.0248
ict_index,xgi,FWD,0.7206
ict_index,yellow_cards,FWD,0.0646
influence,minutes,FWD,0.2456
influence,ownership_count,FWD,0.1269
influence,purchase_price,FWD,0.0901
influence,red_cards,FWD,
influence,saves,FWD,
influence,starts,FWD,0.0112
influence,threat,FWD,0.5695
influence,transfers_balance,FWD,0.0319
influence,transfers_in,FWD,0.0729
influence,transfers_out,FWD,0.037
influence,was_home,FWD,-0.0141
influence,xa,FWD,0.2433
influence,xg,FWD,0.4438
influence,xgc,FWD,0.0224
influence,xgi,FWD,0.4887
influence,yellow_cards,FWD,0.0916
minutes,ownership_count,FWD,0.237
minutes,purchase_price,FWD,0.2063
minutes,red_cards,FWD,
minutes,saves,FWD,
minutes,starts,FWD,0.0682
minutes,threat,FWD,0.2732
minutes,transfers_balance,FWD,0.0798
minutes,transfers_in,FWD,0.2172
minutes,transfers_out,FWD,0.1683
minutes,was_home,FWD,-0.0362
minutes,xa,FWD,0.218
minutes,xg,FWD,0.217
minutes,xgc,FWD,0.2528
minutes,xgi,FWD,0.2626
minutes,yellow_cards,FWD,-0.0042
ownership_count,purchase_price,FWD,0.7379
ownership_count,red_cards,FWD,
ownership_count,saves,FWD,
ownership_count,starts,FWD,0.0688
ownership_count,threat,FWD,0.1449
ownership_count,transfers_balance,FWD,0.0376
ownership_count,transfers_in,FWD,0.7527
ownership_count,transfers_out,FWD,0.7753
ownership_count,was_home,FWD,0.0053
ownership_count,xa,FWD,0.1476
ownership_count,xg,FWD,0.1844
ownership_count,xgc,FWD,-0.0614
ownership_count,xgi,FWD,0.2123
ownership_count,yellow_cards,FWD,-0.0586
purchase_price,red_cards,FWD,
purchase_price,saves,FWD,
purchase_price,starts,FWD,0.0056
purchase_price,threat,FWD,0.1311
purchase_price,transfers_balance,FWD,-0.0229
purchase_price,transfers_in,FWD,0.4848
purchase_price,transfers_out,FWD,0.5282
purchase_price,was_home,FWD,0.0005
purchase_price,xa,FWD,0.1389
purchase_price,xg,FWD,0.1309
purchase_price,xgc,FWD,-0.0589
purchase_price,xgi,FWD,0.1548
purchase_price,yellow_cards,FWD,-0.0596
red_cards,saves,FWD,
red_cards,starts,FWD,
red_cards,threat,FWD,
red_cards,transfers_balance,FWD,
red_cards,transfers_in,FWD,
red_cards,transfers_out,FWD,
red_cards,was_home,FWD,
red_cards,xa,FWD,
red_cards,xg,FWD,
red_cards,xgc,FWD,
red_cards,xgi,FWD,
red_cards,yellow_cards,FWD,
saves,starts,FWD,
saves,threat,FWD,
saves,transfers_balance,FWD,
saves,transfers_in,FWD,
saves,transfers_out,FWD,
saves,was_home,FWD,
saves,xa,FWD,
saves,xg,FWD,
saves,xgc,FWD,
saves,xgi,FWD,
saves,yellow_cards,FWD,
starts,threat,FWD,0.0226
starts,transfers_balance,FWD,0.0194
starts,transfers_in,FWD,0.0718
starts,transfers_out,FWD,0.0597
starts,was_home,FWD,0.0014
starts,xa,FWD,-0.0202
